salary,area,age,sex,job,exper,data,company
3000-4000元,浙江金华,18岁-30岁,不限,"
                        销售助理
            ",不限,2017-10-18,"
            金华佑衡文化传播有限公司
            "
4000-5000元,浙江金华,18岁-30岁,不限,"
                        储备干部
            ",不限,2017-10-18,"
            金华佑衡文化传播有限公司
            "
2000-3000元,浙江金华兰溪市,28岁-43岁,不限,"
                        仓库配货打包
            ",不限,2017-10-18,"
            金华市鸡毛换糖商贸有限公司
            "
3000-4000元,浙江金华兰溪市,23岁-35岁,不限,"
                        淘宝美工
            ",二年以上,2017-10-18,"
            金华市鸡毛换糖商贸有限公司
            "
2000-3000元,浙江金华兰溪市,20岁-35岁,不限,"
                        淘宝客服
            ",不限,2017-10-18,"
            金华市鸡毛换糖商贸有限公司
            "
3000-4000元,浙江金华义乌市,18岁-32岁,女,"
                        打单员/文员
            ",不限,2017-10-18,"
            上海声力贸易有限公司
            "
（面谈）元,浙江金华义乌市,20岁-35岁,不限,"
                        淘宝客服
            ",不限,2017-10-18,"
            上海声力贸易有限公司
            "
3000-4000元,浙江金华义乌市,35岁以下,男,"
                        打包员
            ",不限,2017-10-18,"
            上海声力贸易有限公司
            "
（面谈）元,浙江金华,不限,不限,"
                        仓管员
            ",不限,2017-10-18,"
            金华市博信五金工具厂
            "
（面谈）元,浙江金华婺城区,不限,不限,"
                        客服
            ",不限,2017-10-18,"
            金华市博信五金工具厂
            "
（面谈）元,浙江金华义乌市,20岁-30岁,不限,"
                        日语电商外贸业务员
            ",不限,2017-10-18,"
            金华市正步电子商务有限公司
            "
3000-4000元,浙江金华义乌市,不限,不限,"
                        画画老师
            ",不限,2017-10-18,"
            义乌市翰霖书画培训部
            "
（面谈）元,浙江金华义乌市,20岁-30岁,不限,"
                        日语电商外贸业务员
            ",不限,2017-10-18,"
            金华市正步电子商务有限公司
            "
3000-4000元,浙江金华义乌市,不限,不限,"
                        画画老师
            ",不限,2017-10-18,"
            义乌市翰霖书画培训部
            "
（面谈）元,浙江金华婺城区,不限,不限,"
                        客服
            ",不限,2017-10-18,"
            金华市博信五金工具厂
            "
（面谈）元,浙江金华义乌市,20岁-30岁,不限,"
                        日语电商外贸业务员
            ",不限,2017-10-18,"
            金华市正步电子商务有限公司
            "
3000-4000元,浙江金华义乌市,不限,不限,"
                        画画老师
            ",不限,2017-10-18,"
            义乌市翰霖书画培训部
            "
3000-4000元,浙江金华,18岁-30岁,不限,"
                        销售助理
            ",不限,2017-10-18,"
            金华佑衡文化传播有限公司
            "
4000-5000元,浙江金华,18岁-30岁,不限,"
                        储备干部
            ",不限,2017-10-18,"
            金华佑衡文化传播有限公司
            "
2000-3000元,浙江金华兰溪市,28岁-43岁,不限,"
                        仓库配货打包
            ",不限,2017-10-18,"
            金华市鸡毛换糖商贸有限公司
            "
3000-4000元,浙江金华兰溪市,23岁-35岁,不限,"
                        淘宝美工
            ",二年以上,2017-10-18,"
            金华市鸡毛换糖商贸有限公司
            "
（面谈）元,浙江金华,55岁以下,男,"
                        驾驶员(男）
            ",不限,2017-10-18,"
            金华市博信五金工具厂
            "
（面谈）元,浙江金华,不限,不限,"
                        仓管员
            ",不限,2017-10-18,"
            金华市博信五金工具厂
            "
（面谈）元,浙江金华婺城区,不限,不限,"
                        客服
            ",不限,2017-10-18,"
            金华市博信五金工具厂
            "
（面谈）元,浙江金华义乌市,20岁-30岁,不限,"
                        日语电商外贸业务员
            ",不限,2017-10-18,"
            金华市正步电子商务有限公司
            "
3000-4000元,浙江金华义乌市,不限,不限,"
                        画画老师
            ",不限,2017-10-18,"
            义乌市翰霖书画培训部
            "
4000-5000元,浙江金华,18岁-29岁,不限,"
                        快消品拓展专员
            ",不限,2017-10-18,"
            金华佑衡文化传播有限公司
            "
4000-5000元,浙江金华,18岁-29岁,不限,"
                        快消品拓展专员
            ",不限,2017-10-18,"
            金华佑衡文化传播有限公司
            "
3000-4000元,浙江金华婺城区,不限,不限,"
                        人事专员
            ",不限,2017-10-18,"
            金华优暖家体验中心
            "
（面谈）元,浙江金华婺城区,不限,不限,"
                        店长
            ",三年以上,2017-10-18,"
            金华优暖家体验中心
            "
